chargeDeviceID,name,latitude,longitude,town,county,postcode,locationType,chargeDeviceStatus,paymentRequired,accessRestrictionFlag,parkingFeesFlag,subscriptionRequired,access24Hours,connector1Type,connector1RatedOutputKW,connector1ChargeMethod,connector1Status
33c1551e32887aef85c6007466e667a0,Your Homes Newcastle,55.009181,-1.599109,Newcastle upon Tyne,Tyne and Wear,NE7 7LX,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
4cd693494a8c867c551e0688ec78bde1,Your Homes Newcastle,55.009381,-1.599109,Newcastle upon Tyne,Tyne and Wear,NE7 7LX,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
09c78e5e092faab26c371b2c3f13f514,Condercum Road Depot,54.9731,-1.661135,Newcastle upon Tyne,Tyne and Wear,NE4 8XN,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
210bcb6b2b91bc12683f9f87e7c45d6c,Quorum Business Park,55.020299,-1.579031,Newcastle upon Tyne,Tyne and Wear,NE12 8FB,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
f9ea301093a1aa4b23743e432cb0e33b,Etal Lane Police Station,54.99994,-1.680266,Newcastle upon Tyne,Tyne and Wear,NE5 4AW,Workplace car park,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
cb16e9966ff8b9db87d4ab07b1d9c117,Northumbria University Coach Lane Campus,55.004885,-1.571115,Newcastle upon Tyne,Tyne and Wear,NE7 7XA,Educational establishment,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
ea5def399cab671b4c7c1a95e4a4747f,Newcastle University Business School,54.974156,-1.622987,Newcastle upon Tyne,Tyne and Wear,NE1 4SE,Educational establishment,In service,Yes,1,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
f87b7d1f666a0a1d86568485a520bffa,Nestle PLC,55.011472,-1.656127,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
7aa0c0a3e9f181bc2dd0e35ecae62dd9,Nestle PLC,55.011272,-1.656127,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
796e0358d2325ea224baf084dbeca14f,Nestle PLC,55.011772,-1.656127,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
8eeedc66ea8fbcdf2e74294037c2f389,Nestle PLC,55.011372,-1.656727,Newcastle upon Tyne,Tyne and Wear,NE3 3TR,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
860fe1a72849de8657e95c3fbd819233,Time Central,54.974268,-1.619089,Newcastle upon Tyne,Tyne and Wear,NE1 4BF,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
5a0de25c4bcaa248ec1765bcb0863712,Time Central,54.974168,-1.619089,Newcastle upon Tyne,Tyne and Wear,NE1 4BF,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e2b55042866db16f336e911d6e05a45b,St Nicholas Hospital,55.007849,-1.634267,Newcastle upon Tyne,Tyne and Wear,NE3 3XT,NHS property,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
